V1,V2,V3,V4,V5,V6,V7,V8,V9
北京,95,6114,16.3,240.8,68.40000000000001,480.42,174.29,152.28
天津,9,813,3.5,25.9,7.8,49.54,21.88,5.13
河北,5,23,.1,4.1,.7,2.52,1.6,.61
山西,4,110,.5,4.1,1.2,7.52,3.85,3.63
内蒙古,3,111,.3,6.5,.7,18.27,16.08,.12
辽宁,13,996,1.6,35.6,12.8,65.81,58.14,52.85
黑龙江,4,79,.2,2.9,.9,3.92,1.36,1.2
江苏,18,1798,5.6,52.2,16.8,122.3,59.43,23.56
浙江,31,2028,4.9,68.3,22.1,137.91,44.65,34.52
安徽,8,738,1.7,19.9,5.8,33.04,9.91,9.77
福建,23,821,3,25.3,7.5,45.71,15.55,11.68
江西,4,177,.4,6.1,2,11.33,7.05,6.89
山东,17,749,2.2,43.2,11.1,68.55,17.91,15.68
河南,14,273,.7,8.699999999999999,4.6,13.79,4.66,3.33
湖北,34,1601,3.4,50.4,13.6,90.81,27.4,22.01
湖南,18,1023,4.2,53.7,22.8,56.6,18.61,16.1
广西,4,381,1,7.9,2.5,16.56,4.53,4.53
海南,1,8,0,.3,.1,1.01,.28,.28
重庆,12,1279,4.1,64.7,18.5,81.8,25.74,12.84
四川,10,1486,5.6,54.3,20.3,107.28,19.98,13.01
贵州,2,16,0,1.7,.3,.5600000000000001,.22,.22
云南,5,258,.7,5.6,2.8,14.58,4.65,2.83
西藏,1,6,0,.1,.1,.67,.15,.15
陕西,10,475,1.6,15.9,8.9,29.6,10.36,10.3
甘肃,3,67,.3,2.1,.6,4.09,1.86,1.86
新疆,5,144,.3,4,1.3,6.7,2.73,2.73
上海,63,7008,15.9,174.8,48.9,399.25,107.04,62.69
广东,79,5774,15.4,172.4,43.7,364.35,114.4,92.81999999999999
